#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 289.000000 0.079294 2.818912 2.751099
 290.000000 0.082651 2.978937 -2.383346
 291.000000 0.063761 2.737989 -1.288347
 292.000000 0.078915 2.723285 -1.819319
 293.000000 0.089928 2.998830 -1.991703
 294.000000 0.100883 2.969570 -2.119909
 295.000000 0.132311 2.978733 -2.112875
 296.000000 0.143406 2.985660 -2.518497
 297.000000 0.109350 2.981307 -1.888922
 298.000000 0.086153 2.943210 -3.057346
 299.000000 0.108801 3.136176 -0.009170
 300.000000 0.094161 2.882578 -1.871017
 301.000000 0.113684 2.944574 -1.435680
 302.000000 0.097178 3.053185 -1.548611
 303.000000 0.095457 3.006143 -2.559903
 304.000000 0.107105 2.822880 -1.218361
 305.000000 0.102578 2.910296 -1.585941
 306.000000 0.090642 2.988876 -0.655889
 307.000000 0.091317 3.098027 -1.866477
 308.000000 0.110948 3.032282 -0.986117
 309.000000 0.112168 3.021340 -2.467479
 310.000000 0.065031 2.932269 -1.943728
 311.000000 0.095978 3.012340 -2.224790
 312.000000 0.149016 3.003745 -2.663385
 313.000000 0.117329 3.000833 -1.173047
 314.000000 0.115971 2.971287 1.893909
 315.000000 0.128194 2.801991 -1.542153
 316.000000 0.138161 2.834823 -1.463726
 317.000000 0.178305 2.882256 -2.122437
 318.000000 0.157883 3.004477 -2.419494
 319.000000 0.124438 2.861085 -1.375494
 320.000000 0.126076 2.849261 -1.708133
 321.000000 0.136784 2.996127 -2.499429
 322.000000 0.146383 2.913907 -2.601597
 323.000000 0.116806 2.988563 -2.929293
 324.000000 0.084644 3.013919 -1.527062
 325.000000 0.104475 2.955112 -2.485326
 326.000000 0.073005 3.032418 -1.996832
 327.000000 0.074445 2.834766 -1.075569
 328.000000 0.054381 2.831202 -1.313952
 329.000000 0.066843 2.855486 -2.175210
 330.000000 0.100312 3.041025 1.293414
 331.000000 0.107873 3.009777 -1.511440
 332.000000 0.079940 3.105703 1.892302
 333.000000 0.119465 2.991647 1.807759
 334.000000 0.100292 3.038929 2.324998
 335.000000 0.123867 3.047616 -2.529175
 336.000000 0.081372 3.119671 0.686814
 337.000000 0.123097 3.051063 2.323609
 338.000000 0.080869 3.040350 -2.455093
 339.000000 0.091992 3.056505 -1.214105
 340.000000 0.068272 2.998122 0.266962
 341.000000 0.063018 3.110896 0.667656
 342.000000 0.110436 2.884336 -1.112202
 343.000000 0.088313 2.918316 -1.046763
 344.000000 0.115797 3.078999 0.809994
 345.000000 0.103021 3.024174 -0.928133
 346.000000 0.102850 3.018465 -0.592348
 347.000000 0.137051 3.032497 -0.642583
 348.000000 0.136504 3.030954 -0.852802
 349.000000 0.093509 3.026511 -2.082348
 350.000000 0.151844 2.821971 -1.319870
 351.000000 0.137212 2.908295 -1.410616
 352.000000 0.162853 2.990540 -2.254672
 353.000000 0.113733 2.957683 -1.584866
 354.000000 0.126154 2.935085 -0.606594
 355.000000 0.152840 2.980350 -1.543487
 356.000000 0.134936 3.114157 -1.412351
 357.000000 0.167874 2.877045 -2.387651
 358.000000 0.165823 2.934160 -1.643303
 359.000000 0.170468 3.050265 -2.807243
 360.000000 0.168706 2.949432 -2.276745
 361.000000 0.160537 2.903114 -2.509287
 362.000000 0.169519 2.788143 -2.081614
 363.000000 0.171512 3.008372 -2.232923
 364.000000 0.103121 2.990753 -0.693747
 365.000000 0.078115 2.999394 -1.124695
 366.000000 0.102430 2.885160 -1.151903
 367.000000 0.094049 3.016652 -0.695898
 368.000000 0.108213 3.056000 -2.103639
 369.000000 0.080574 3.027966 2.907881
 370.000000 0.073313 2.986688 0.097571
 371.000000 0.125933 3.015240 -0.103219
 372.000000 0.057140 3.086219 -1.396286
 373.000000 0.094252 2.976648 0.832555
 374.000000 0.087878 2.871717 0.525019
 375.000000 0.096243 3.097806 0.589651
 376.000000 0.100948 3.056888 -1.752931
 377.000000 0.124018 3.038126 2.395449
 378.000000 0.118909 2.989004 0.333911
 379.000000 0.120643 3.042976 -0.292403
 380.000000 0.093221 3.071883 -0.089787
 381.000000 0.116296 3.055808 -0.104065
 382.000000 0.102882 3.098251 -0.368770
 383.000000 0.116173 3.060463 2.308019
#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 384.000000 0.077911 3.040629 2.878182
 385.000000 0.059212 2.925335 -1.429590
 386.000000 0.090639 3.092110 2.282889
 387.000000 0.107418 3.080460 2.007936
 388.000000 0.094693 3.126661 3.061747
 389.000000 0.125376 3.123409 -2.032963
 390.000000 0.101687 3.016980 2.114471
 391.000000 0.059516 3.026576 2.838207
 392.000000 0.086972 3.005807 -2.193631
 393.000000 0.066121 2.938525 3.069519
 394.000000 0.119564 2.927407 3.047699
 395.000000 0.111238 2.958963 3.140157
 396.000000 0.083961 3.026507 -2.699047
 397.000000 0.129465 2.939873 3.133293
 398.000000 0.133359 2.975645 3.135810
 399.000000 0.128387 3.096279 2.563839
 400.000000 0.170927 2.886129 -3.054876
 401.000000 0.176576 2.885762 -3.108239
 402.000000 0.177301 2.896579 -2.999071
 403.000000 0.155329 2.712214 2.875500
 404.000000 0.143854 2.913232 -2.998142
 405.000000 0.161706 2.982286 -2.981826
 406.000000 0.184301 2.874298 2.965048
 407.000000 0.171127 2.781200 2.628620
 408.000000 0.157988 2.906203 -3.029092
 409.000000 0.163235 2.881979 2.831762
 410.000000 0.185256 2.978230 -2.232186
 411.000000 0.202859 3.102483 -1.826611
 412.000000 0.191917 3.134053 -1.442368
 413.000000 0.185658 3.046194 -2.106222
 414.000000 0.186278 3.049185 -2.269339
 415.000000 0.208871 3.066191 -2.168339
 416.000000 0.191290 3.100552 -2.694185
 417.000000 0.190184 3.004979 -1.534997
 418.000000 0.182666 2.927416 -1.445094
 419.000000 0.198312 3.043915 -1.303270
 420.000000 0.212717 2.893429 -2.096581
 421.000000 0.234988 2.961773 -1.558830
 422.000000 0.203806 3.007151 -1.938421
 423.000000 0.198895 2.910974 -2.122244
 424.000000 0.218442 3.016813 -1.904388
 425.000000 0.197481 2.997025 -1.937948
 426.000000 0.215932 2.996652 -2.048749
 427.000000 0.214423 2.987064 -1.777388
 428.000000 0.214715 3.002445 -2.092860
 429.000000 0.207007 3.010115 -1.525619
 430.000000 0.195493 3.019957 -2.534497
 431.000000 0.145524 2.983715 -2.295842
 432.000000 0.179626 3.073902 2.975563
 433.000000 0.190764 3.067896 -2.141274
 434.000000 0.181324 3.082378 -1.476228
 435.000000 0.154377 3.003564 -1.707335
 436.000000 0.155912 3.003300 -1.868760
 437.000000 0.155310 3.085161 -1.236266
 438.000000 0.144511 2.931671 -1.495222
 439.000000 0.156444 3.095596 -1.345623
 440.000000 0.161792 2.918328 -1.534583
 441.000000 0.154203 2.994942 -1.647772
 442.000000 0.155098 2.969396 -1.089947
 443.000000 0.141202 3.066129 0.163078
 444.000000 0.161516 3.026472 -0.348080
 445.000000 0.176250 2.944673 -1.130990
 446.000000 0.178251 2.843917 -1.431319
 447.000000 0.168379 2.933547 -1.565176
 448.000000 0.166828 3.016870 -1.642817
