#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 200.000000 1.289962 0.968143 1.326182
 201.000000 1.221120 0.966142 1.279563
 202.000000 1.254576 0.998311 1.279007
 203.000000 1.216640 1.001272 1.324858
 204.000000 1.288525 0.995364 1.251192
 205.000000 1.331950 0.971854 1.324032
 206.000000 1.324165 0.960579 1.320256
 207.000000 1.372295 1.019357 1.387746
 208.000000 1.269986 0.965038 1.353453
 209.000000 1.153662 0.968692 1.383785
 210.000000 1.183661 0.866497 1.229817
 211.000000 1.160694 0.763232 1.214304
 212.000000 1.211866 0.807920 1.226606
 213.000000 1.219455 0.902690 1.150653
 214.000000 1.240417 0.899197 1.143560
 215.000000 1.253662 0.919402 1.203976
 216.000000 1.310844 0.891711 1.223423
 217.000000 1.327021 0.910137 1.234490
 218.000000 1.329832 0.954173 1.176273
 219.000000 1.310473 0.960286 1.181688
 220.000000 1.330727 0.928739 1.232178
 221.000000 1.312702 0.987214 1.148834
 222.000000 1.320034 0.968896 1.136225
 223.000000 1.315971 0.999285 1.164180
 224.000000 1.336306 0.960828 1.176093
 225.000000 1.259852 0.978736 1.216050
 226.000000 1.298621 1.017315 1.254293
 227.000000 1.280258 1.004493 1.261151
 228.000000 1.253781 0.923826 1.204523
 229.000000 1.202943 0.975776 1.219389
 230.000000 1.151661 0.980934 1.221773
 231.000000 1.204403 0.935369 1.211116
 232.000000 1.172199 1.007800 1.228187
 233.000000 1.118924 0.977604 1.237305
 234.000000 1.186824 0.939818 1.217951
 235.000000 1.148867 0.974665 1.271797
 236.000000 1.199440 0.860105 1.238573
 237.000000 1.175682 0.894912 1.346662
 238.000000 1.267492 0.943542 1.359928
 239.000000 1.233623 0.943260 1.315841
 240.000000 1.153266 0.890110 1.253752
 241.000000 1.146582 0.937342 1.261755
 242.000000 1.152995 1.017549 1.272817
 243.000000 1.215847 0.948475 1.263053
 244.000000 1.177444 0.910018 1.236722
 245.000000 1.153382 0.938076 1.203375
 246.000000 1.170279 0.928355 1.224509
 247.000000 1.114843 0.975374 1.239505
 248.000000 1.166955 0.904320 1.233568
 249.000000 1.132311 0.909908 1.238768
 250.000000 1.101835 0.900717 1.227226
 251.000000 1.159745 0.900597 1.245462
