#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 240.000000 0.063023 1.078858 -2.981135
 241.000000 0.029071 0.897773 -2.845886
 242.000000 0.043338 0.860835 -2.471350
 243.000000 0.075224 1.213447 -2.415632
 244.000000 0.039164 1.013405 -2.135833
 245.000000 0.016352 1.424013 -1.737278
 246.000000 0.025807 1.183911 -2.036932
 247.000000 0.022996 1.176415 -2.712668
 248.000000 0.052974 0.997066 -2.710597
 249.000000 0.051511 1.204754 -2.559901
 250.000000 0.059027 1.059529 -2.512383
 251.000000 0.076136 1.071050 -2.312508
 252.000000 0.092003 1.224997 -2.135106
 253.000000 0.047077 1.040715 -2.396179
 254.000000 0.035365 0.985357 -2.380947
 255.000000 0.063676 1.143401 -2.307449
 256.000000 0.067757 1.030073 -2.327966
 257.000000 0.057483 1.092481 -2.456180
 258.000000 0.054618 1.139265 -2.718576
 259.000000 0.044061 0.786724 -2.629641
 260.000000 0.030303 0.705854 -2.168563
 261.000000 0.010137 1.534423 2.734899
 262.000000 0.069758 0.999391 -2.847346
 263.000000 0.030703 0.733915 -2.289187
 264.000000 0.013382 0.779783 -1.856252
 265.000000 0.060096 1.073448 -2.389614
 266.000000 0.050183 0.965572 -2.204073
 267.000000 0.046243 1.065498 -2.390897
 268.000000 0.036923 1.198010 -1.874271
 269.000000 0.062473 0.982012 -2.117470
 270.000000 0.036000 1.192238 -2.460958
 271.000000 0.034051 1.088396 -1.933582
 272.000000 0.060622 1.096247 -2.556629
 273.000000 0.057398 1.057490 -2.428757
 274.000000 0.062680 1.076393 -2.770819
 275.000000 0.057677 0.982581 -2.547511
 276.000000 0.031180 1.075671 -2.457329
 277.000000 0.086147 1.116684 -2.269002
 278.000000 0.029915 0.644443 -2.658249
 279.000000 0.016674 0.734169 -1.651284
 280.000000 0.026610 0.570481 -1.794258
 281.000000 0.061240 1.135196 -2.631893
 282.000000 0.054119 1.122124 -2.491782
 283.000000 0.092605 1.369465 -2.543833
 284.000000 0.108882 1.448048 -2.487640
 285.000000 0.087518 1.228185 -2.455555
 286.000000 0.093610 1.412280 -2.376542
 287.000000 0.101433 1.463741 -2.317462
 288.000000 0.094337 1.369858 -2.378053
 289.000000 0.097048 1.439336 -2.428562
 290.000000 0.095965 1.357514 -2.467095
 291.000000 0.110182 1.376838 -2.527023
 292.000000 0.094620 1.384037 -2.614443
 293.000000 0.102810 1.226984 -2.258621
 294.000000 0.102545 1.379781 -2.346746
 295.000000 0.114917 1.323607 -2.244208
 296.000000 0.103678 1.352220 -2.254967
 297.000000 0.098596 1.097547 -2.277602
 298.000000 0.088734 1.356492 -2.234416
 299.000000 0.099078 1.285544 -2.381195
 300.000000 0.080036 1.248666 -2.332412
 301.000000 0.087246 1.258372 -2.360786
 302.000000 0.115303 1.210699 -2.460513
 303.000000 0.102869 1.329609 -2.474908
 304.000000 0.086514 1.249743 -2.260865
 305.000000 0.083744 1.466309 -2.458384
 306.000000 0.070482 1.476726 -2.326017
 307.000000 0.077499 1.313777 -2.323304
 308.000000 0.093797 1.407396 -2.555746
 309.000000 0.099049 1.388872 -2.547169
 310.000000 0.082444 1.489843 -2.092650
 311.000000 0.084735 1.565618 -2.396281
 312.000000 0.105115 1.469075 -2.655677
 313.000000 0.099108 1.514868 -2.625948
