#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 235.000000 0.042796 1.717631 -2.835531
 236.000000 0.037406 1.724405 -2.720379
 237.000000 0.052401 1.307790 3.134674
 238.000000 0.065664 1.535039 -2.983334
 239.000000 0.031457 1.879976 -2.775359
 240.000000 0.038776 1.852449 -1.779464
 241.000000 0.042827 1.980766 -2.038457
 242.000000 0.049019 1.055179 -1.773159
 243.000000 0.055566 0.567750 -2.596836
 244.000000 0.043006 1.540406 -2.322376
 245.000000 0.053370 1.227615 -2.017392
 246.000000 0.086599 1.349565 -2.545789
 247.000000 0.057584 1.395717 -2.336391
 248.000000 0.064450 1.356684 -2.915084
 249.000000 0.069885 1.538515 -2.939253
 250.000000 0.063731 1.063943 -2.176454
 251.000000 0.043741 1.495412 -1.735481
 252.000000 0.058359 1.497860 -1.869138
 253.000000 0.041692 1.678593 -2.264707
 254.000000 0.064631 1.701193 -2.433505
 255.000000 0.048596 1.719711 -2.207921
 256.000000 0.036802 2.066276 -2.803933
 257.000000 0.054899 1.552118 -2.302592
 258.000000 0.036523 2.365246 -2.208432
 259.000000 0.037396 1.329926 -1.536086
 260.000000 0.033409 1.602783 -2.607431
 261.000000 0.023580 2.220979 -2.772942
 262.000000 0.043878 1.737617 -3.048053
 263.000000 0.059521 1.481916 -2.406594
 264.000000 0.042430 1.325277 -1.825646
 265.000000 0.049359 1.445818 -1.471837
 266.000000 0.033770 1.102343 -2.169514
 267.000000 0.043373 0.873213 -1.491702
 268.000000 0.060494 0.807180 -1.397053
 269.000000 0.049479 0.513200 -1.642366
 270.000000 0.043137 0.429077 -2.168135
 271.000000 0.058160 1.343833 3.034681
 272.000000 0.018243 1.168200 -0.814728
 273.000000 0.030538 0.738067 -1.509951
 274.000000 0.034499 0.854048 -1.145486
 275.000000 0.071989 0.895406 -1.592023
 276.000000 0.027602 0.390712 -1.058147
 277.000000 0.051247 1.070408 -1.811154
 278.000000 0.047986 1.182980 -1.724104
 279.000000 0.024628 1.389974 -1.048342
 280.000000 0.041919 1.558435 -2.255669
 281.000000 0.028636 1.827767 -1.732755
 282.000000 0.043329 1.145760 -1.585088
 283.000000 0.059043 1.114635 -1.463095
 284.000000 0.068634 1.263895 -1.611363
 285.000000 0.065177 0.975992 -1.554156
 286.000000 0.053242 1.185926 -1.232969
 287.000000 0.068597 1.115866 -1.586784
 288.000000 0.059780 1.179259 -1.851172
 289.000000 0.066606 0.734249 -1.334402
 290.000000 0.085853 0.931266 -1.241753
 291.000000 0.075666 1.052396 -1.022977
 292.000000 0.066261 0.737530 -1.575144
 293.000000 0.049851 1.389948 -1.297688
 294.000000 0.062698 1.022399 -1.223120
