#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 251.000000 0.356888 2.325273 0.437509
 252.000000 0.352110 2.238262 0.342665
 253.000000 0.371377 2.282407 0.292500
 254.000000 0.355470 2.170145 0.285887
 255.000000 0.378792 2.122279 0.275604
#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 256.000000 0.396286 2.287427 0.386496
 257.000000 0.368758 2.171406 0.393540
 258.000000 0.356527 2.231411 0.284749
 259.000000 0.373277 2.082242 0.306701
 260.000000 0.310829 2.145406 0.403200
 261.000000 0.335678 2.229747 0.350207
 262.000000 0.332993 2.099971 0.333122
 263.000000 0.339137 2.188803 0.308750
 264.000000 0.352816 2.255041 0.409256
 265.000000 0.334029 2.224259 0.264755
 266.000000 0.325797 2.156582 0.331442
 267.000000 0.365142 2.218074 0.337948
 268.000000 0.350630 2.216387 0.283925
 269.000000 0.350226 2.244233 0.334546
 270.000000 0.357394 2.258809 0.264993
 271.000000 0.351328 2.189827 0.278400
 272.000000 0.359183 2.300920 0.241959
 273.000000 0.354525 2.239781 0.369983
 274.000000 0.331318 2.333855 0.394430
 275.000000 0.334479 2.349992 0.276524
 276.000000 0.347796 2.344607 0.364940
 277.000000 0.351977 2.520591 0.451248
 278.000000 0.341250 2.385488 0.383106
 279.000000 0.369743 2.319397 0.370302
 280.000000 0.334074 2.398478 0.374468
 281.000000 0.360983 2.334107 0.376320
 282.000000 0.345622 2.262103 0.328958
 283.000000 0.318157 2.323462 0.319054
 284.000000 0.328842 2.306365 0.517387
 285.000000 0.360075 2.385531 0.418957
 286.000000 0.352074 2.248667 0.386606
 287.000000 0.370507 2.276540 0.381828
 288.000000 0.369780 2.236994 0.359986
 289.000000 0.361896 2.225868 0.331606
 290.000000 0.344388 2.262270 0.349532
 291.000000 0.349832 2.241468 0.331940
 292.000000 0.361241 2.193420 0.335648
 293.000000 0.337314 2.235865 0.360670
 294.000000 0.345177 2.267344 0.449397
 295.000000 0.335547 2.234774 0.351796
 296.000000 0.359963 2.256324 0.322224
 297.000000 0.329389 2.219811 0.405738
 298.000000 0.331235 2.294857 0.335150
 299.000000 0.328254 2.242669 0.384120
 300.000000 0.335356 2.154467 0.377683
 301.000000 0.348079 2.219531 0.458830
 302.000000 0.337212 2.185003 0.384600
 303.000000 0.366638 2.250989 0.416084
 304.000000 0.343326 2.346886 0.386090
 305.000000 0.343968 2.251308 0.331374
 306.000000 0.356673 2.314828 0.432977
 307.000000 0.347067 2.293145 0.362189
 308.000000 0.372456 2.250136 0.408595
 309.000000 0.366356 2.381939 0.416682
 310.000000 0.352050 2.282708 0.378742
 311.000000 0.372316 2.287033 0.251954
 312.000000 0.316966 2.375067 0.159529
 313.000000 0.325664 2.213619 0.357552
 314.000000 0.335791 2.229000 0.371491
 315.000000 0.364010 2.315132 0.487543
 316.000000 0.368063 2.373918 0.470668
 317.000000 0.368488 2.300786 0.463752
 318.000000 0.364854 2.360393 0.404830
 319.000000 0.354013 2.313129 0.346502
 320.000000 0.342162 2.382729 0.333383
 321.000000 0.378358 2.282747 0.296745
 322.000000 0.379706 2.231600 0.332322
 323.000000 0.357826 2.174910 0.330062
 324.000000 0.375248 2.100329 0.352901
 325.000000 0.370256 2.180759 0.317126
 326.000000 0.379369 2.136842 0.299349
 327.000000 0.340071 2.185566 0.360155
 328.000000 0.347348 2.144840 0.352680
 329.000000 0.344139 2.102697 0.281676
 330.000000 0.354141 2.293687 0.382268
 331.000000 0.360602 2.126230 0.332688
 332.000000 0.336587 2.210092 0.395588
 333.000000 0.360912 2.197745 0.376042
 334.000000 0.372653 2.243365 0.421998
 335.000000 0.359140 2.163780 0.230214
 336.000000 0.347001 2.198235 0.211613
 337.000000 0.341691 2.061782 0.215801
 338.000000 0.335947 2.236748 0.194830
 339.000000 0.325017 2.186147 0.311940
 340.000000 0.320164 2.174584 0.200231
 341.000000 0.304802 2.148062 0.174888
 342.000000 0.342457 2.185928 0.225678
 343.000000 0.359439 2.212973 0.211131
 344.000000 0.352712 2.157591 0.357268
 345.000000 0.344153 2.210631 0.313230
 346.000000 0.354550 2.280810 0.262656
 347.000000 0.351230 2.253577 0.276321
 348.000000 0.358083 2.246303 0.205908
 349.000000 0.354111 2.225962 0.219846
 350.000000 0.335594 2.266591 0.335340
 351.000000 0.341641 2.234467 0.265047
 352.000000 0.360975 2.251303 0.400951
 353.000000 0.338244 2.293800 0.429584
 354.000000 0.347297 2.313491 0.466776
 355.000000 0.349265 2.299353 0.333898
 356.000000 0.364561 2.273775 0.272028
 357.000000 0.333551 2.310836 0.167365
 358.000000 0.360985 2.257321 0.241230
 359.000000 0.382631 2.198476 0.304736
 360.000000 0.369512 2.253782 0.303849
 361.000000 0.356033 2.330787 0.282539
 362.000000 0.353778 2.278533 0.327943
 363.000000 0.363331 2.245454 0.267969
 364.000000 0.336554 2.371724 0.261327
 365.000000 0.341901 2.327746 0.347064
 366.000000 0.349370 2.305059 0.300694
 367.000000 0.376825 2.258791 0.220524
 368.000000 0.352907 2.281063 0.387765
 369.000000 0.361808 2.271737 0.229351
 370.000000 0.362510 2.284221 0.288856
 371.000000 0.370067 2.256629 0.194776
 372.000000 0.358740 2.311977 0.360663
 373.000000 0.354220 2.214597 0.302558
 374.000000 0.353074 2.283996 0.491936
 375.000000 0.347643 2.299396 0.418856
 376.000000 0.358133 2.330971 0.299678
 377.000000 0.344133 2.223202 0.353631
 378.000000 0.372805 2.309957 0.370168
 379.000000 0.414445 2.331045 0.355107
 380.000000 0.352929 2.379464 0.317680
 381.000000 0.351042 2.314005 0.267931
 382.000000 0.356390 2.297925 0.344238
 383.000000 0.371121 2.302847 0.405414
 384.000000 0.340704 2.338783 0.375081
 385.000000 0.394327 2.248967 0.279271
 386.000000 0.355881 2.384226 0.249310
 387.000000 0.361674 2.290405 0.310521
 388.000000 0.355710 2.288897 0.355746
 389.000000 0.342560 2.198858 0.404446
 390.000000 0.389266 2.239494 0.313038
 391.000000 0.349260 2.209073 0.330591
 392.000000 0.385457 2.191414 0.337619
 393.000000 0.374717 2.200467 0.310295
 394.000000 0.386688 2.100787 0.319775
 395.000000 0.384312 2.214820 0.299137
 396.000000 0.352793 2.153222 0.334819
 397.000000 0.405509 2.225033 0.406044
 398.000000 0.337036 2.173289 0.259150
 399.000000 0.336277 2.121527 0.303501
 400.000000 0.319998 2.078873 0.322022
 401.000000 0.373580 2.204320 0.351420
 402.000000 0.343490 2.147956 0.354027
 403.000000 0.345027 2.226724 0.381814
 404.000000 0.368663 2.241920 0.413390
 405.000000 0.364041 2.337217 0.411861
 406.000000 0.383223 2.171178 0.448000
 407.000000 0.372240 2.133620 0.373525
 408.000000 0.357997 2.183659 0.444218
 409.000000 0.338627 2.151537 0.383339
 410.000000 0.345762 2.115558 0.352990
 411.000000 0.347953 2.213009 0.346149
 412.000000 0.360620 2.251200 0.387653
 413.000000 0.321744 2.275419 0.428363
 414.000000 0.321479 2.256779 0.284097
 415.000000 0.341733 2.224689 0.274316
 416.000000 0.327532 2.185911 0.383997
 417.000000 0.327484 2.203701 0.406904
 418.000000 0.350564 2.252328 0.320814
 419.000000 0.356986 2.185689 0.381330
 420.000000 0.327874 2.009241 0.400041
 421.000000 0.332851 2.057049 0.429587
 422.000000 0.368224 2.175878 0.402235
 423.000000 0.362909 2.166312 0.373978
 424.000000 0.386796 2.219886 0.344315
 425.000000 0.342011 2.208768 0.444251
 426.000000 0.371762 2.177648 0.388540
 427.000000 0.346849 2.185024 0.373319
 428.000000 0.355756 2.084715 0.283771
 429.000000 0.359708 2.202503 0.322174
 430.000000 0.368751 2.212603 0.326733
 431.000000 0.361731 2.206713 0.352723
 432.000000 0.353244 2.268624 0.348839
 433.000000 0.342029 2.246885 0.436991
 434.000000 0.366738 2.202449 0.450256
 435.000000 0.363518 2.155039 0.455442
 436.000000 0.354409 2.235208 0.408865
 437.000000 0.358848 2.032322 0.350855
 438.000000 0.382230 2.122572 0.394165
 439.000000 0.366859 2.214055 0.420722
 440.000000 0.384138 2.192469 0.367240
 441.000000 0.339069 2.310230 0.395816
 442.000000 0.353488 2.147775 0.285056
 443.000000 0.340565 2.140890 0.331867
 444.000000 0.397749 2.211964 0.381427
 445.000000 0.382803 2.104144 0.439555
 446.000000 0.365071 2.256484 0.324459
 447.000000 0.414202 2.224945 0.385490
 448.000000 0.390572 2.124516 0.368141
 449.000000 0.370774 2.250511 0.376834
 450.000000 0.393521 2.188362 0.385662
 451.000000 0.383281 2.136629 0.293137
 452.000000 0.348342 2.162171 0.251560
 453.000000 0.351226 2.020881 0.232451
 454.000000 0.360016 2.010729 0.214035
 455.000000 0.340139 2.087469 0.256796
 456.000000 0.332595 2.168913 0.257945
 457.000000 0.334610 2.097758 0.271234
 458.000000 0.314194 2.133373 0.246670
 459.000000 0.324573 2.111363 0.230559
 460.000000 0.326036 2.131938 0.281436
 461.000000 0.313799 2.059145 0.229336
 462.000000 0.326489 2.004076 0.232484
 463.000000 0.366405 2.150156 0.262866
 464.000000 0.344922 2.060346 0.247949
 465.000000 0.346011 2.067600 0.321766
 466.000000 0.381222 2.100239 0.209184
 467.000000 0.334836 2.038883 0.251659
 468.000000 0.337293 2.109970 0.307475
 469.000000 0.339643 2.080306 0.241721
 470.000000 0.352608 2.112243 0.205948
 471.000000 0.297733 2.013578 0.148029
 472.000000 0.324496 2.088317 0.093925
 473.000000 0.334092 2.064045 0.185969
 474.000000 0.321386 2.190854 0.141577
 475.000000 0.322838 2.166143 0.194074
 476.000000 0.316823 2.118097 0.190888
 477.000000 0.341388 2.192079 0.080887
 478.000000 0.326372 2.254217 0.173339
 479.000000 0.345192 2.177789 0.225539
 480.000000 0.335224 2.108076 0.261374
 481.000000 0.291120 2.180426 0.202233
 482.000000 0.336978 2.052483 0.223184
 483.000000 0.334547 2.131968 0.188295
 484.000000 0.350440 2.159956 0.204849
 485.000000 0.323046 2.208256 0.162758
 486.000000 0.322922 2.254746 0.128215
 487.000000 0.329630 2.114343 0.257537
 488.000000 0.330172 2.107310 0.261658
 489.000000 0.340174 2.186666 0.268219
 490.000000 0.354320 2.091718 0.260020
 491.000000 0.313505 2.070521 0.296994
 492.000000 0.331215 2.051515 0.262542
 493.000000 0.311148 2.075438 0.190772
 494.000000 0.329445 2.092342 0.210621
 495.000000 0.323575 2.158059 0.285264
 496.000000 0.335699 2.114581 0.297420
 497.000000 0.306686 2.204718 0.255337
 498.000000 0.312804 2.072207 0.206638
 499.000000 0.302470 2.008503 0.155025
 500.000000 0.334018 2.075099 0.257983
 501.000000 0.355111 2.024193 0.227655
 502.000000 0.334374 1.995256 0.282961
 503.000000 0.326930 2.029472 0.288312
 504.000000 0.303085 2.051006 0.279772
 505.000000 0.303692 2.018335 0.270759
 506.000000 0.358543 2.144235 0.204309
 507.000000 0.351704 1.997740 0.187049
 508.000000 0.277881 2.067680 0.147754
 509.000000 0.316795 2.110909 0.217984
 510.000000 0.325245 2.116124 0.325984
 511.000000 0.332812 2.140874 0.254084
 512.000000 0.331310 1.993030 0.301891
 513.000000 0.338088 2.067325 0.270902
 514.000000 0.341608 2.078373 0.293302
 515.000000 0.325957 2.076445 0.311586
 516.000000 0.359582 2.110080 0.363295
 517.000000 0.353698 2.077663 0.336742
 518.000000 0.333524 2.026023 0.220451
 519.000000 0.320207 2.080451 0.200986
 520.000000 0.268535 2.042498 0.291599
 521.000000 0.302719 2.244736 0.225570
 522.000000 0.310592 2.100835 0.258652
 523.000000 0.344721 1.977965 0.353858
 524.000000 0.303793 2.161210 0.262929
 525.000000 0.297320 2.116449 0.189114
 526.000000 0.277057 2.047126 0.142658
 527.000000 0.316549 2.115716 0.331958
 528.000000 0.300042 2.102341 0.287951
 529.000000 0.290809 1.982888 0.224044
 530.000000 0.297076 2.135197 0.160986
 531.000000 0.326433 2.178920 0.215956
 532.000000 0.285536 2.044830 0.259361
 533.000000 0.321633 2.048926 0.248625
 534.000000 0.313940 2.085623 0.126851
 535.000000 0.312385 2.111722 0.137637
 536.000000 0.321518 2.131415 0.223051
 537.000000 0.338660 2.147592 0.219760
 538.000000 0.325581 2.094228 0.147820
 539.000000 0.312218 2.073468 0.200744
 540.000000 0.283733 2.121634 0.225513
 541.000000 0.292137 2.082727 0.257384
 542.000000 0.298326 2.028592 0.140568
 543.000000 0.338456 2.120645 0.199115
 544.000000 0.288318 2.115812 0.106158
 545.000000 0.312323 2.235036 0.087908
